wk_id,brownweights,brown1,brown0_3,brown0_5,total_employees,state,election_year,brownness_share,brown1_share,brown0_3_share,brown0_5_share
1,4307.78527759917,2524.93190400763,5698.96023482831,3716.49247111768,89086.3337799757,1,2013,0.0483551751971126,0.0283425279374912,0.0639712062784347,0.041717874262248
2,3077.42476277933,1552.76317982921,4511.83695696926,2834.67921040478,69205.3996361744,1,2013,0.0444679862981489,0.0224370235269556,0.065194868907467,0.0409603762901047
3,4240.84847594061,2258.97520506904,5981.18344778084,3674.85593926848,67881.4382067402,1,2013,0.062474346271578,0.0332782460823692,0.0881122086654162,0.0541363889208757
4,2752.12130272292,1144.4345221436,4139.32401904573,2200.75215616502,70889.8380189664,1,2013,0.0388225079874861,0.01614384450755,0.0583909363417965,0.0310446774554092
5,2698.57538239869,1161.57136047203,4143.16604888487,1808.27903999754,110167.435816621,1,2013,0.0244952182320973,0.0105436906274693,0.0376079012656824,0.0164139160233113
6,2723.55492216985,1121.75199707194,4048.29094613673,2112.41361823169,68542.991938753,1,2013,0.0397349874164159,0.0163656701486607,0.059062069390757,0.0308188125216251
7,4243.30364717491,2191.23669110696,5962.88872339789,3450.24811724895,84155.3578281984,2,2013,0.0504222637355727,0.0260379938682019,0.0708557230018679,0.0409985556034658
8,5424.1064780505,2810.13069263169,7477.06731520539,4644.65890239906,95344.5639637281,2,2013,0.0568895199952249,0.0294734232955405,0.0784215376772806,0.0487144595277192
9,3000.22052092939,1430.17949630206,4277.85662062954,2919.31100159389,67082.5654506616,1,2013,0.0447242961084429,0.0213196899476651,0.0637700211953857,0.0435181776663119
10,3784.66997211155,1852.50384698435,5530.24601249685,3231.58813959771,66065.3509700416,2,2013,0.0572867610107418,0.0280404753745182,0.0837087207029995,0.0489150226578396
11,4018.82730727021,2381.01704925053,5333.72600805524,3227.96782645707,94936.6924935957,1,2013,0.0423316549345904,0.0250800505759262,0.0561819236373234,0.0340012669671932
12,6167.75640363822,3796.21374045482,8340.16832410654,5723.14329470049,102145.209264459,1,2013,0.0603822386585905,0.0371648731036053,0.0816501173590378,0.056029483280836
13,4921.68339515437,3178.3503995361,6501.57388001649,4602.22738638049,62660.5668394326,13,2013,0.0785451463879374,0.0507232947266598,0.103758618984037,0.0734469478735115
14,739.218714096764,386.0202443554,1022.65786326095,645.540306368538,17911.5119067483,13,2013,0.0412705927866568,0.0215515164976087,0.0570950050774694,0.0360405257651826
15,2299.6696083796,1155.34423016765,3273.74700683251,2207.02311120321,70320.0626293103,13,2013,0.0327028947699069,0.0164297952386364,0.0465549501013666,0.0313853974055378
16,3634.35242602511,1982.17811647299,4970.4802682543,3358.65426557114,88997.0449858037,13,2013,0.0408367763963944,0.0222724037274403,0.0558499472543967,0.0377389414008846
17,4899.20630913254,2779.06915603506,6710.99027735183,4492.11854284364,104315.935897777,13,2013,0.0469650803299455,0.0266408879153265,0.0643333180074056,0.0430626299249774
18,3357.58828366302,1774.39791811457,4542.48120306527,2696.23126797486,131449.395754652,2,2013,0.0255428202190439,0.0134987149079518,0.0345568815815916,0.0205115531531794
19,2343.5929799997,1238.57691070074,3170.70690466763,1881.95654028654,91712.8357242101,2,2013,0.0255535984848088,0.0135049461825089,0.0345721171919955,0.0205200997812975
